entropy,epoch,grad_norm,learning_rate,loss,mean_token_accuracy,num_tokens,step
0.00041460398642811924,0.016,0.0018310546875,0.0002,5.227557630860247e-05,1.0,136950.0,1
0.0009795599908102304,0.032,0.255859375,0.00019841269841269844,0.002826663665473461,0.9995024502277374,277844.0,2
0.0024813796626403928,0.048,0.7265625,0.00019682539682539682,0.014399691484868526,0.9986054003238678,414031.0,3
0.0025671656476333737,0.064,0.87109375,0.00019523809523809525,0.012447075918316841,0.9977818429470062,550276.0,4
0.001556233735755086,0.08,0.115234375,0.00019365079365079365,0.0010855349246412516,0.9995537400245667,686669.0,5
0.005647948477417231,0.096,1.171875,0.00019206349206349208,0.011101369746029377,0.9976030886173248,818811.0,6
0.003237636759877205,0.112,0.212890625,0.00019047619047619048,0.0031659395899623632,0.99937504529953,955377.0,7
0.0031234046909958124,0.128,0.095703125,0.00018888888888888888,0.001287862192839384,0.9996282458305359,1091619.0,8
0.003308512852527201,0.144,0.03515625,0.00018730158730158731,0.0007245953311212361,1.0,1229094.0,9
0.0037323102587834,0.16,0.025634765625,0.00018571428571428572,0.0008254226995632052,1.0,1366936.0,10
0.0028579450445249677,0.176,0.068359375,0.00018412698412698412,0.0008298730244860053,0.999848484992981,1506249.0,11
0.005434233229607344,0.192,0.045654296875,0.00018253968253968255,0.0015611296985298395,0.9998823702335358,1640795.0,12
0.0035642231814563274,0.208,0.035888671875,0.00018095238095238095,0.0017778950277715921,0.999809056520462,1777079.0,13
0.002905349712818861,0.224,0.020263671875,0.00017936507936507938,0.0004894259618595243,1.0,1914752.0,14
0.0026328711537644267,0.24,0.013916015625,0.00017777777777777779,0.00039211372495628893,1.0,2053702.0,15
0.00212710426421836,0.256,0.016845703125,0.0001761904761904762,0.000365858111763373,1.0,2192795.0,16
0.003324162680655718,0.272,0.043701171875,0.00017460317460317462,0.0007360685267485678,0.9997982978820801,2326014.0,17
0.0028492644196376204,0.288,0.018798828125,0.00017301587301587302,0.0006507596699520946,0.9999057054519653,2461967.0,18
0.002817801432684064,0.304,0.03369140625,0.00017142857142857143,0.000864888948854059,0.9997530877590179,2597450.0,19
0.0029764878563582897,0.32,0.029052734375,0.00016984126984126986,0.0006488448707386851,1.0,2734766.0,20
0.0027952995151281357,0.336,0.016845703125,0.00016825396825396826,0.0006743649719282985,1.0,2870436.0,21
0.0012444990570656955,0.352,0.005157470703125,0.0001666666666666667,0.00016420651809312403,1.0,3007637.0,22
0.0037451102398335934,0.368,0.059814453125,0.0001650793650793651,0.0011580929858610034,0.9996824562549591,3139457.0,23
0.001298250223044306,0.384,0.00592041015625,0.0001634920634920635,0.00017599103739485145,1.0,3276992.0,24
0.0020986292511224747,0.4,0.038330078125,0.00016190476190476192,0.00042773879249580204,1.0,3409684.0,25
0.0025187437422573566,0.416,0.0230712890625,0.00016031746031746033,0.0004546520358417183,1.0,3544094.0,26
0.001830330293159932,0.432,0.053955078125,0.00015873015873015873,0.0004356331774033606,0.9998955130577087,3679364.0,27
0.001101965841371566,0.448,0.005889892578125,0.00015714285714285716,0.00014910500613041222,1.0,3814578.0,28
0.0024931980296969414,0.464,0.0181884765625,0.00015555555555555556,0.0010503614321351051,0.9998824894428253,3949387.0,29
0.0008280125330202281,0.48,0.0069580078125,0.000153968253968254,0.00012005347525700927,1.0,4085469.0,30
0.0006636322796111926,0.496,0.00173187255859375,0.00015238095238095237,8.236240682890639e-05,1.0,4223908.0,31
0.0006545025098603219,0.512,0.0020599365234375,0.0001507936507936508,8.817043271847069e-05,1.0,4361542.0,32
0.00046216956980060786,0.528,0.00165557861328125,0.00014920634920634923,5.703986244043335e-05,1.0,4500201.0,33
0.0006918828003108501,0.544,0.0038299560546875,0.00014761904761904763,9.179391781799495e-05,1.0,4635056.0,34
0.00047452261787839234,0.56,0.00543212890625,0.00014603174603174603,6.245676195248961e-05,1.0,4772155.0,35
0.0006615601014345884,0.576,0.0380859375,0.00014444444444444444,0.00014026333519723266,1.0,4910782.0,36
0.000755554938223213,0.592,0.01129150390625,0.00014285714285714287,0.00025311444187536836,0.9999007284641266,5047431.0,37
0.00036028402973897755,0.608,0.0014190673828125,0.0001412698412698413,4.3464620830491185e-05,1.0,5185159.0,38
0.0003214954776922241,0.624,0.00099945068359375,0.00013968253968253967,3.582541103241965e-05,1.0,5325839.0,39
0.000296049183816649,0.64,0.0011749267578125,0.0001380952380952381,3.1026538636069745e-05,1.0,5464989.0,40
0.0005842760583618656,0.656,0.0038604736328125,0.0001365079365079365,9.768993913894519e-05,1.0,5601500.0,41
0.001007893733913079,0.672,0.01031494140625,0.00013492063492063494,0.00039445015136152506,0.9998892247676849,5737215.0,42
0.0002823623799486086,0.688,0.0014190673828125,0.00013333333333333334,3.233809184166603e-05,1.0,5874803.0,43
0.00036058438126929104,0.704,0.0017852783203125,0.00013174603174603174,4.583988629747182e-05,1.0,6012480.0,44
0.00038833649159641936,0.72,0.0023040771484375,0.00013015873015873017,4.328647264628671e-05,1.0,6150794.0,45
0.00033675687154754996,0.736,0.00090789794921875,0.00012857142857142858,3.4259530366398394e-05,1.0,6288079.0,46
0.00036047712637810037,0.752,0.00127410888671875,0.00012698412698412698,4.0940263716038316e-05,1.0,6423980.0,47
0.0003489168739179149,0.768,0.00147247314453125,0.0001253968253968254,3.717748404596932e-05,1.0,6559964.0,48
0.0005968399927951396,0.784,0.007049560546875,0.0001238095238095238,0.0001477413607062772,1.0,6695710.0,49
0.0003198288759449497,0.8,0.00133514404296875,0.00012222222222222224,3.804706648224965e-05,1.0,6833459.0,50
0.00027442476857686415,0.816,0.00079345703125,0.00012063492063492063,2.9781542252749205e-05,1.0,6974367.0,51
0.0004069264614372514,0.832,0.003021240234375,0.00011904761904761905,6.944889901205897e-05,1.0,7112239.0,52
0.0003222138693672605,0.848,0.00110626220703125,0.00011746031746031746,4.130589877604507e-05,1.0,7249164.0,53
0.0003104165807599202,0.864,0.0057373046875,0.0001158730158730159,4.0670420276001096e-05,1.0,7384655.0,54
0.00025389551592525095,0.88,0.000804901123046875,0.00011428571428571428,2.806022166623734e-05,1.0,7521429.0,55
0.00026458125648787245,0.896,0.00154876708984375,0.0001126984126984127,3.215741162421182e-05,1.0,7661403.0,56
0.0003658232162706554,0.912,0.0026397705078125,0.00011111111111111112,5.766282993135974e-05,1.0,7798856.0,57
0.00024146275245584548,0.928,0.000640869140625,0.00010952380952380953,2.3679751393501647e-05,1.0,7932632.0,58
0.0002673053095350042,0.944,0.000644683837890625,0.00010793650793650794,2.843961374310311e-05,1.0,8068910.0,59
0.0003778796235565096,0.96,0.0008087158203125,0.00010634920634920635,3.5749500966630876e-05,1.0,8202801.0,60
0.0002000914391828701,0.976,0.000396728515625,0.00010476190476190477,1.9726181562873535e-05,1.0,8338157.0,61
